"","source","target","ligand","receptor","aggregate_rank","mean_rank","call_cellchat.pval","call_cellchat.rank","cellphonedb.pvalue","cellphonedb.rank","sca.LRscore","sca.rank","interaction"
"1","Lamp5","Sst","Jam3","Itgb1",0.00243622259534176,123.333333333333,0,6.5,0,93.5,0.704321416001099,270,"Lamp5-Sst-Jam3-Itgb1"
"2","Lamp5","Sst","Nlgn1","Nrxn1",0.00776799199417244,1780.66666666667,NA,5246,0,93.5,0.953675215269439,2.5,"Lamp5-Sst-Nlgn1-Nrxn1"
"3","Lamp5","Pvalb","Nfasc","Cntnap1",0.000172530497225278,74.3333333333333,0,7.5,0,102.5,0.833599811062416,113,"Lamp5-Pvalb-Nfasc-Cntnap1"
"4","Lamp5","Pvalb","Jam3","Itgb1",0.00352781645628214,191.833333333333,0,7.5,0.022,259,0.674269375021321,309,"Lamp5-Pvalb-Jam3-Itgb1"
"5","Lamp5","Pvalb","Nrxn1","Nlgn1",0.00767917715552036,1880.33333333333,NA,5276,0.526,362.5,0.951833334703014,2.5,"Lamp5-Pvalb-Nrxn1-Nlgn1"
"6","Lamp5","Vip","Nrg3","Egfr",0.000142854116802154,43.8333333333333,0,8,0,111.5,0.935438613733552,12,"Lamp5-Vip-Nrg3-Egfr"
"7","Lamp5","Vip","Nlgn1","Nrxn1",0.00448579423907965,1863,NA,5476,0,111.5,0.959420567998107,1.5,"Lamp5-Vip-Nlgn1-Nrxn1"
"8","Lamp5","Vip","Jam3","Itgb1",0.00452631781023907,225.666666666667,0,8,0.617,324,0.654709596255254,345,"Lamp5-Vip-Jam3-Itgb1"
"9","Lamp5","Vip","Nxph1","Nrxn1",0.00896711461459507,1863.5,NA,5476,0,111.5,0.95706342902557,3,"Lamp5-Vip-Nxph1-Nrxn1"
"10","Pvalb","Sst","Nfasc","Cntnap1",6.56011225538763e-05,56.5,0,4,0,83.5,0.850218931657076,82,"Pvalb-Sst-Nfasc-Cntnap1"
"11","Pvalb","Sst","Vegfa","Itgb1",0.0021689833921188,118.5,0,4,0,83.5,0.695840224290405,268,"Pvalb-Sst-Vegfa-Itgb1"
"12","Pvalb","Sst","Nxph1","Nrxn1",0.00301305635325744,1827.16666666667,NA,5397,0,83.5,0.953337201216052,1,"Pvalb-Sst-Nxph1-Nrxn1"
"13","Pvalb","Sst","App","Grm7",0.00690658045953445,1832.16666666667,NA,5397,0,83.5,0.928408287235682,16,"Pvalb-Sst-App-Grm7"
"14","Pvalb","Sst","Efna5","Epha6",0.00690658045953445,1838.5,NA,5397,0,83.5,0.906883792668637,35,"Pvalb-Sst-Efna5-Epha6"
"15","Pvalb","Sst","Alcam","Chl1",0.00690658045953445,1839.83333333333,NA,5397,0,83.5,0.898684358732541,39,"Pvalb-Sst-Alcam-Chl1"
"16","Pvalb","Sst","Ntrk3","Ptprs",0.00690658045953445,1840.83333333333,NA,5397,0,83.5,0.895329468454705,42,"Pvalb-Sst-Ntrk3-Ptprs"
"17","Pvalb","Sst","Il1rapl1","Ptprs",0.00690658045953445,1832.5,NA,5397,0,83.5,0.925258559766024,17,"Pvalb-Sst-Il1rapl1-Ptprs"
"18","Pvalb","Sst","Ccl25","Grm7",0.00690658045953445,1845.5,NA,5397,0,83.5,0.881484623013764,56,"Pvalb-Sst-Ccl25-Grm7"
"19","Pvalb","Sst","Slit3","Robo2",0.00690658045953445,1843.83333333333,NA,5397,0,83.5,0.887213902672004,51,"Pvalb-Sst-Slit3-Robo2"
"20","Pvalb","Sst","Slit2","App",0.00690658045953445,1835.83333333333,NA,5397,0,83.5,0.91163789481548,27,"Pvalb-Sst-Slit2-App"
"21","Pvalb","Sst","Slit2","Dcc",0.00690658045953445,1840.5,NA,5397,0,83.5,0.89782425869566,41,"Pvalb-Sst-Slit2-Dcc"
"22","Pvalb","Sst","Slit2","Robo2",0.00690658045953445,1831.83333333333,NA,5397,0,83.5,0.928674492149149,15,"Pvalb-Sst-Slit2-Robo2"
"23","Pvalb","Sst","Slit2","Robo1",0.00690658045953445,1831.16666666667,NA,5397,0,83.5,0.93208372815666,13,"Pvalb-Sst-Slit2-Robo1"
"24","Pvalb","Sst","Fgf1","Fgfr2",0.00690658045953445,1837.5,NA,5397,0,83.5,0.908404039480821,32,"Pvalb-Sst-Fgf1-Fgfr2"
"25","Pvalb","Sst","Nxph1","Nrxn2",0.00690658045953445,1840.16666666667,NA,5397,0,83.5,0.898080441924866,40,"Pvalb-Sst-Nxph1-Nrxn2"
"26","Pvalb","Sst","Sorbs1","Insr",0.00690658045953445,1851.5,NA,5397,0,83.5,0.855243289309721,74,"Pvalb-Sst-Sorbs1-Insr"
"27","Pvalb","Sst","Fgf12","Fgfr2",0.00690658045953445,1828.83333333333,NA,5397,0,83.5,0.945313630410115,6,"Pvalb-Sst-Fgf12-Fgfr2"
"28","Pvalb","Sst","Npy","Grm7",0.00783657643237694,1856.5,NA,5397,0,83.5,0.843757870715007,89,"Pvalb-Sst-Npy-Grm7"
"29","Pvalb","Vip","Nrg3","Egfr",0.000121214948172946,39.3333333333333,0,4,0,102,0.935277609055685,12,"Pvalb-Vip-Nrg3-Egfr"
"30","Pvalb","Vip","Vegfa","Egfr",0.000522492341339034,90.6666666666667,0,4,0,102,0.790009697195076,166,"Pvalb-Vip-Vegfa-Egfr"
"31","Pvalb","Vip","Nxph1","Nrxn1",0.00302673594116536,1817.66666666667,NA,5350,0,102,0.95926529997096,1,"Pvalb-Vip-Nxph1-Nrxn1"
"32","Pvalb","Vip","Vegfa","Itgb1",0.00350258495188014,206,0,4,0.227,301,0.668442772695233,313,"Pvalb-Vip-Vegfa-Itgb1"
"33","Pvalb","Vip","Nlgn1","Nrxn1",0.00756302164509736,1818.16666666667,NA,5350,0,102,0.956143508490563,2.5,"Pvalb-Vip-Nlgn1-Nrxn1"
"34","Vip","Sst","Nrxn1","Nlgn1",0.00775727938009987,1781,NA,5251,0,89.5,0.953448121279291,2.5,"Vip-Sst-Nrxn1-Nlgn1"
"35","Vip","Sst","App","Grm7",0.00840730560432233,1786.16666666667,NA,5251,0,89.5,0.925191723141279,18,"Vip-Sst-App-Grm7"
"36","Vip","Sst","Ncam1","Ncam2",0.00840730560432233,1789.16666666667,NA,5251,0,89.5,0.915157471250684,27,"Vip-Sst-Ncam1-Ncam2"
"37","Vip","Sst","Ncam1","Fgfr2",0.00840730560432233,1787.16666666667,NA,5251,0,89.5,0.923730024835645,21,"Vip-Sst-Ncam1-Fgfr2"
"38","Vip","Sst","Nrxn1","Nlgn2",0.00840730560432233,1805.33333333333,NA,5251,0,89.5,0.861619320463571,75.5,"Vip-Sst-Nrxn1-Nlgn2"
"39","Vip","Sst","Alcam","Chl1",0.00840730560432233,1794.83333333333,NA,5251,0,89.5,0.902227576628468,44,"Vip-Sst-Alcam-Chl1"
"40","Vip","Sst","Cntn4","Ptprg",0.00840730560432233,1785.83333333333,NA,5251,0,89.5,0.926346887990465,17,"Vip-Sst-Cntn4-Ptprg"
"41","Vip","Sst","Nlgn1","Nrxn2",0.00840730560432233,1796.66666666667,NA,5251,0,89.5,0.892206675458201,49.5,"Vip-Sst-Nlgn1-Nrxn2"
"42","Vip","Sst","Ccl25","Grm7",0.00840730560432233,1803.5,NA,5251,0,89.5,0.865081682263598,70,"Vip-Sst-Ccl25-Grm7"
"43","Vip","Sst","Npy","Grm7",0.00840730560432233,1809.16666666667,NA,5251,0,89.5,0.85161942299988,87,"Vip-Sst-Npy-Grm7"
"44","Vip","Sst","Lgi1","Adam22",0.00840730560432233,1802.5,NA,5251,0,89.5,0.869650472362879,67,"Vip-Sst-Lgi1-Adam22"
"45","Vip","Sst","Dscam","Dcc",0.00840730560432233,1794.16666666667,NA,5251,0,89.5,0.905587290806402,42,"Vip-Sst-Dscam-Dcc"
"46","Vip","Sst","Ncam1","Cacna1c",0.00840730560432233,1789.5,NA,5251,0,89.5,0.915136749239993,28,"Vip-Sst-Ncam1-Cacna1c"
"47","Vip","Sst","Ncam1","Ptpra",0.00840730560432233,1808.16666666667,NA,5251,0,89.5,0.853487979582542,84,"Vip-Sst-Ncam1-Ptpra"
"48","Vip","Sst","Cntn4","Aplp1",0.00840730560432233,1807.5,NA,5251,0,89.5,0.857235859845824,82,"Vip-Sst-Cntn4-Aplp1"
"49","Vip","Sst","Fstl5","Chl1",0.00840730560432233,1791.5,NA,5251,0,89.5,0.910342933109467,34,"Vip-Sst-Fstl5-Chl1"
"50","Vip","Sst","Nrxn1","Nlgn3",0.0091669690668714,1811.33333333333,NA,5251,0,89.5,0.847274667900563,93.5,"Vip-Sst-Nrxn1-Nlgn3"
"51","Vip","Sst","Sst","Grm7",0.00946011843206533,1811.83333333333,NA,5251,0,89.5,0.842705295372262,95,"Vip-Sst-Sst-Grm7"
"52","Sst","Lamp5","Nrg3","Egfr",0.000103080108527916,38.3333333333333,0,4.5,0,100.5,0.938460740710818,10,"Sst-Lamp5-Nrg3-Egfr"
"53","Sst","Lamp5","Tnr","Itga9",0.000222463080923571,76.3333333333333,0,4.5,0,100.5,0.824170460812498,124,"Sst-Lamp5-Tnr-Itga9"
"54","Sst","Lamp5","L1cam","Egfr",0.000726852621421796,96.3333333333333,0,4.5,0,100.5,0.781303798637746,184,"Sst-Lamp5-L1cam-Egfr"
"55","Sst","Lamp5","Lama4","Itga9",0.00117585601606355,107,0,4.5,0,100.5,0.747471034167719,216,"Sst-Lamp5-Lama4-Itga9"
"56","Sst","Lamp5","Nxph1","Nrxn1",0.0030482639496563,1813.5,NA,5339,0,100.5,0.956544159428436,1,"Sst-Lamp5-Nxph1-Nrxn1"
"57","Sst","Lamp5","Nrxn1","Nlgn1",0.00761678715055462,1814,NA,5339,0,100.5,0.953397332953802,2.5,"Sst-Lamp5-Nrxn1-Nlgn1"
"58","Pvalb","Lamp5","Nrg3","Egfr",0.000126619452241201,43.3333333333333,0,6.5,0,112.5,0.937930794248092,11,"Pvalb-Lamp5-Nrg3-Egfr"
"59","Pvalb","Lamp5","Tnr","Itga9",0.00016998895614424,73,0,6.5,0,112.5,0.834701558599063,100,"Pvalb-Lamp5-Tnr-Itga9"
"60","Pvalb","Lamp5","Vegfa","Egfr",0.000507584303223403,93.6666666666667,0,6.5,0,112.5,0.790424150381624,162,"Pvalb-Lamp5-Vegfa-Egfr"
